Y,M,D,T,TM,Tm,SLP,STP,H,PP,VV,V,VM,VG,FG,RA,SN,GR,TS,TR
2017,1,23,9.2,11.7,7.8,0,0,80,7.11,10.8,14.6,38.9,46.5,0,1,0,0,0,0
2017,1,24,8.3,13.5,5,0,0,69,1.02,10.9,14.3,27.8,0,0,0,0,0,0,0
2017,1,25,6.5,9.1,5,0,0,74,0,10,19.8,37,40.7,0,1,0,0,0,0
2017,1,26,6.9,10.6,4,0,0,79,1.52,9.8,12,18.3,0,0,1,0,0,0,0
2017,1,27,10.2,14.2,7,0,0,84,0.51,9.5,13.1,20.6,42.4,0,1,0,0,1,0
2017,1,28,11.3,14.5,8,0,0,83,18.29,10.1,12.4,24.1,0,0,1,0,0,0,0
2017,1,29,9,14.1,5.7,0,0,77,1.52,9.7,12.6,25.9,0,0,0,0,0,0,0
2017,1,30,9.9,15.2,6,0,0,80,0,10.8,11.7,22.2,0,0,0,0,0,0,0
2017,1,31,10.9,15.1,8,0,0,87,0,9.7,9.6,22.2,0,0,0,0,0,0,0
2017,2,1,10.9,15.5,8,0,0,89,0,7.4,11.5,25.9,0,0,0,0,0,0,0
2017,2,2,11.5,14.5,10,0,0,86,0,7.6,16.9,33.5,0,0,1,0,0,0,0
2017,2,3,12.2,17,8,0,0,65,0,10.9,15.9,38.9,0,0,0,0,0,0,0
2017,2,4,14.1,19,9,0,0,72,0,10.3,20.9,42.4,0,0,0,0,0,0,0
2017,2,5,13.7,15.5,11.6,0,0,70,0,11.4,26.1,42.4,61.1,0,1,0,0,0,0
2017,2,6,12.3,17.2,8,0,0,50,0,11.1,21.9,35.2,55.4,0,0,0,0,0,0
2017,2,7,13.6,18.1,10,0,0,74,0,10.9,9.8,20.6,0,0,1,0,0,0,0
2017,2,8,10.7,17.7,7,0,0,65,11.18,10.1,14.6,38.9,0,0,1,0,0,1,0
2017,2,9,8.3,13.7,4,0,0,58,0,13.4,13.5,22.2,0,0,0,0,0,0,0
2017,2,10,8.7,13.7,5.7,0,0,68,0,10.5,11.7,20.6,33.5,0,0,0,0,0,0
2017,2,11,10.4,14,6.9,0,0,82,0,10.5,20.7,35.2,63,0,1,0,0,0,0
2017,2,12,13.5,14.6,12,0,0,86,0,8.9,30,42.4,50,0,0,0,0,0,0
2017,2,13,13.7,14.7,13,0,0,90,8.89,6.9,31.7,66.5,0,0,1,0,0,0,0
2017,2,14,13.3,16.6,10,0,0,84,1.02,10.1,11.3,22.2,31.7,0,0,0,0,0,0
2017,2,15,13.4,16.6,10,0,0,84,0,10.3,14.3,25.9,31.7,0,1,0,0,0,0
2017,2,16,12.8,15.6,9,0,0,86,0,9.8,8.1,13,0,0,0,0,0,0,0
2017,2,17,11.1,15,8,0,0,86,0,9.3,14.8,27.8,0,0,0,0,0,0,0
2017,2,18,10.4,15,7,0,0,84,0,7.2,10.6,20.6,0,1,0,0,0,0,0
2017,2,19,12.1,16.2,9,0,0,79,0,9.5,10.9,20.6,37,0,0,0,0,0,0
2017,2,20,11.6,16.2,7.7,0,0,74,0,10.3,15,22.2,40.7,0,0,0,0,0,0
2017,2,21,11.3,16.2,7,0,0,73,0,9.7,16.9,25.9,46.5,0,0,0,0,0,0
2017,2,22,12.3,18.2,8,0,0,64,0,11.7,15.7,24.1,35.2,0,0,0,0,0,0
2017,2,23,12.9,18.1,9,0,0,65,0,0,14.4,29.4,0,0,0,0,0,0,0
2017,2,24,12.2,14.1,10,0,0,89,1.02,7.1,8.1,25.9,0,1,1,0,0,0,0
2017,2,25,10.4,14.5,6,0,0,73,5.33,9.5,11.7,25.9,37,0,0,0,0,0,0
2017,2,26,10.4,15,5.9,0,0,82,0,10.1,17.8,29.4,0,0,0,0,0,0,0
2017,2,27,12.7,16,10,0,0,79,0,10,17.2,35.2,0,0,0,0,0,0,0
2017,2,28,14.3,18,10.9,0,0,59,0,9.8,26.5,40.7,0,0,0,0,0,0,0
2017,3,1,11.3,15,7,0,0,62,0,11.4,18.5,33.5,0,0,0,0,0,0,0
2017,3,2,12.1,17.6,7,0,0,80,0,11.1,13,22.2,42.4,0,0,0,0,0,0
2017,3,3,12.9,16.2,11,0,0,84,0,8.5,12.2,33.5,0,0,1,0,0,0,0
2017,3,4,11,15.7,6,0,0,62,15.75,9.8,31.3,63,81.7,0,1,0,0,0,0
2017,3,5,11.2,16,6,0,0,67,0.51,10.8,19.1,42.4,50,0,0,0,0,0,0
2017,3,6,16.5,24.1,10,0,0,51,0,10.6,18.5,38.9,51.9,0,0,0,0,0,0
2017,3,7,13.9,18,10,0,0,51,0,11.3,15.2,33.5,40.7,0,0,0,0,0,0
2017,3,8,13.6,16.7,11,0,0,80,0,11.1,11.5,25.9,0,0,0,0,0,0,0
2017,3,9,13,16.6,11,0,0,86,0,9.3,7.4,18.3,0,1,0,0,0,0,0
2017,3,10,14.7,20.5,10.9,0,0,73,0,9,11.9,29.4,0,0,0,0,0,0,0
2017,3,11,14.4,19.5,11,0,0,74,0,0,9.4,20.6,37,0,0,0,0,0,0
2017,3,12,13.9,18,10,0,0,79,0,10.1,11.7,27.8,92.4,0,0,0,0,0,0
2017,3,13,14.9,19.1,12,0,0,69,0,10.1,20.4,48.2,59.4,0,1,0,0,0,0
2017,3,14,14.1,21.6,10,0,0,68,0,10.9,13,22.2,37,0,0,0,0,0,0
2017,3,15,13.3,19.2,10,0,0,69,0,9.8,9.3,20.6,25.9,0,0,0,0,0,0
2017,3,16,12.8,17.5,9,0,0,76,0,8.5,12.8,20.6,33.5,0,0,0,0,0,0
2017,3,17,13.2,18,8,0,0,61,0,0,20.6,38.9,0,0,0,0,0,0,0
2017,3,18,13.6,18,9.6,0,0,70,0,11.3,9.8,22.2,0,0,0,0,0,0,0
2017,3,19,13.5,17.5,9,0,0,78,0,9.8,12.4,24.1,0,0,0,0,0,0,0
2017,3,20,13.9,18.6,10.8,0,0,73,0,11.1,9.1,20.6,0,0,0,0,0,0,0
2017,3,21,13.5,17.6,9,0,0,78,0,10,11.5,18.3,0,0,0,0,0,0,0
2017,3,22,14.3,17.7,10,0,0,73,0,10.1,15,31.7,38.9,0,0,0,0,0,0
2017,3,23,13,16.7,10,0,0,59,0,10,16.5,31.7,51.9,0,0,0,0,0,0
2017,3,24,9.6,12.2,7,0,0,75,9.91,9.3,16.5,29.4,48.2,0,1,0,0,1,0
2017,3,25,10.3,16.1,6,0,0,75,64.77,9.7,16.5,29.4,40.7,0,1,0,0,0,0
2017,3,26,12,16.7,7,0,0,73,0,10.8,12.4,24.1,40.7,0,0,0,0,0,0
2017,3,27,12.3,16.2,9,0,0,81,2.03,10.6,16.7,31.3,0,0,1,0,0,0,0
2017,3,28,12.3,16.6,8,0,0,80,0,10.5,11.7,18.3,33.5,0,0,0,0,0,0
2017,3,29,14.4,19.5,10,0,0,73,0,10.1,14.1,24.1,42.4,0,0,0,0,0,0
2017,3,30,14.6,18.7,10.9,0,0,78,0,0,15.2,25.9,35.2,0,0,0,0,0,0
2017,3,31,13.7,17.7,10,0,0,79,0,10.8,12.8,27.8,0,0,1,0,0,0,0
2017,4,1,12.5,15.5,10,0,0,79,1.02,10.8,10.2,25.9,0,0,1,0,0,1,0
2017,4,2,12,17.2,8,0,0,71,4.57,10.3,15,25.9,40.7,0,1,0,0,0,0
2017,4,3,14.1,20.1,9,0,0,63,0.51,11.6,17.6,31.7,42.4,0,0,0,0,0,0
2017,4,4,15.4,21.2,10,0,0,60,0,14,18.3,27.8,48.2,0,0,0,0,0,0
2017,4,5,14.6,19.2,11,0,0,72,1.02,11.1,10.4,22.2,0,0,1,0,0,0,0
2017,4,6,14.2,20,9,0,0,74,3.3,11.6,13.1,22.2,35.2,0,0,0,0,0,0
2017,4,7,14.3,19,10,0,0,69,0,0,12.8,24.1,44.6,0,0,0,0,0,0
2017,4,8,14.6,18.7,10,0,0,75,0,10.9,16.3,25.9,0,0,0,0,0,0,0
2017,4,9,14.1,18.5,9.8,0,0,75,0,11.4,14.6,25.9,0,0,0,0,0,0,0
2017,4,10,15.3,19.1,10.8,0,0,69,0,11.1,21.1,38.9,0,0,0,0,0,0,0
2017,4,11,16.1,20.1,12,0,0,75,0,11.1,12.8,27.8,0,0,0,0,0,0,0
2017,4,12,15.9,20.7,12,0,0,77,0,9.7,10.2,16.5,38.9,0,0,0,0,0,0
2017,4,13,15.5,19.2,12,0,0,81,0,10,10.6,22.2,0,0,0,0,0,0,0
2017,4,14,16.8,21.1,13,0,0,70,0,8.9,8.9,16.5,0,0,1,0,0,0,0
2017,4,15,16.1,19.1,14,0,0,74,0,10.9,11.9,20.6,38.9,0,0,0,0,0,0
2017,4,16,15.9,20,12,0,0,72,0.25,10.1,16.9,37,0,0,0,0,0,0,0
2017,4,17,15.9,19.7,12.9,0,0,79,0,10.5,13.3,25.9,0,0,0,0,0,0,0
2017,4,18,16.3,19.7,13,0,0,80,0,9.7,10.9,20.6,0,0,0,0,0,0,0
2017,4,19,14.7,18,11,0,0,43,0,10.5,16.5,35.2,55.4,0,0,0,0,0,0
2017,4,20,12.4,16.5,8.6,0,0,50,0,10.8,14.6,33.5,0,0,0,0,0,0,0
2017,4,21,12.2,17.1,6.9,0,0,56,0,14,13,22.2,0,0,0,0,0,0,0
2017,4,22,13.3,18,8,0,0,66,0,0,21.7,37,38.9,0,0,0,0,0,0
2017,4,23,14.7,19.7,10,0,0,68,0,0,11.5,24.1,0,0,0,0,0,0,0
2017,4,24,14.9,18.7,10.8,0,0,76,0,12.1,11.7,24.1,0,0,0,0,0,0,0
2017,4,25,15.4,19.5,11,0,0,79,0,10.8,15.4,29.4,0,0,1,0,0,0,0
2017,4,26,14.2,16.6,12,0,0,88,0.25,8.9,13.1,29.4,0,0,1,0,0,0,0
2017,4,27,9.1,12,7,0,0,84,22.61,10.1,11.5,22.2,33.5,0,1,0,0,0,0
2017,4,28,11.1,16,6,0,0,63,8.38,10.3,14.6,22.2,38.9,0,0,0,0,0,0
2017,4,29,12.8,17.5,7.8,0,0,65,0,11.3,18.9,29.4,0,0,1,0,0,0,0
2017,4,30,16.2,19,13.8,0,0,78,0.76,10.8,20.9,29.4,0,0,1,0,0,0,0
2017,5,1,14.7,17.7,12,0,0,59,1.78,10.6,12.6,22.2,0,0,1,0,0,0,0
2017,5,2,14.8,18.6,10,0,0,72,0,11.1,18.1,33.5,0,0,0,0,0,0,0
2017,5,3,15.3,18.1,14,0,0,80,0,10.8,10.4,24.1,0,0,1,0,0,0,0
2017,5,4,15.6,19.2,12,0,0,83,0,9.2,12,25.9,0,0,0,0,0,0,0
2017,5,5,17.1,21,15,0,0,73,0,10.5,23.9,38.9,0,0,1,0,0,0,0
2017,5,6,19.4,26.2,15,0,0,55,0,11.3,20.7,46.5,0,0,0,0,0,0,0
2017,5,7,16.7,20.2,13,0,0,75,0,10.6,11.9,22.2,0,0,0,0,0,0,0
2017,5,8,16.8,19.7,13,0,0,75,0,10.9,10.9,16.5,0,0,0,0,0,0,0
2017,5,9,16.4,19.6,12.9,0,0,77,0,10.5,11.7,22.2,0,0,0,0,0,0,0
2017,5,10,17.7,20.5,15,0,0,81,0,10.3,12.6,22.2,0,0,1,0,0,0,0
2017,5,11,18.3,21.6,14,0,0,80,11.94,9.8,16.1,27.8,0,0,1,0,0,1,0
2017,5,12,19.6,24.7,14,0,0,64,0,10.6,20.2,40.7,0,0,0,0,0,0,0
2017,5,13,20.1,25.7,15.4,0,0,60,0,11.3,21.9,38.9,0,0,0,0,0,0,0
2017,5,14,19.7,23.2,17,0,0,64,0,11.3,9.1,18.3,0,0,0,0,0,0,0
2017,5,15,20.1,24.2,16,0,0,64,0,11.3,11.1,20.6,0,0,0,0,0,0,0
2017,5,16,20.8,24.7,17.8,0,0,63,0,10.8,10.7,22.2,42.4,0,0,0,0,0,0
2017,5,17,20.7,25.2,17,0,0,62,0,10.5,9.1,16.5,0,0,0,0,0,0,0
2017,5,18,18.9,22.7,15,0,0,69,0.51,10.8,12.2,24.1,33.5,0,1,0,0,0,0
2017,5,19,16.8,20.7,12,0,0,60,0,10.9,17.8,31.3,0,0,0,0,0,0,0
2017,5,20,18.3,21.7,14,0,0,65,0,10.9,13.3,22.2,0,0,0,0,0,0,0
2017,5,21,18.4,22,14,0,0,78,0,10.6,16.1,27.8,0,0,0,0,0,0,0
2017,5,22,19.7,23.5,16.9,0,0,76,0,10.9,10.2,22.2,0,0,0,0,0,0,0
2017,5,23,20.5,24.2,16.9,0,0,72,0,11.1,13.1,24.1,33.5,0,0,0,0,0,0
2017,5,24,22.2,26.6,17,0,0,60,0,12.1,17.8,35.2,42.4,0,0,0,0,0,0
2017,5,25,22.2,26,18.8,0,0,62,0,11.6,18.7,35.2,0,0,0,0,0,0,0
2017,5,26,20.1,22.2,18,0,0,76,0.25,10.8,15.7,24.1,0,0,0,0,0,0,0
2017,5,27,21.1,24,19,0,0,77,0,10.3,14.8,25.9,48.2,0,0,0,0,0,0
2017,5,28,20.9,24.7,17,0,0,70,0,10.9,9.1,16.5,0,0,0,0,0,0,0
2017,5,29,21.7,25.7,17,0,0,58,0,13.4,9.6,16.5,0,0,1,0,0,0,0
2017,5,30,20.8,24.1,17.9,0,0,62,3.05,11.1,10.6,22.2,37,0,1,0,0,0,0
2017,5,31,21.1,25.1,17,0,0,62,0.25,10.8,11.9,20.6,35.2,0,0,0,0,0,0
2017,6,1,21.4,25,18,0,0,66,0,12.4,9.4,18.3,0,0,0,0,0,0,0
2017,6,2,21.6,25.2,18,0,0,75,0,11.4,13,27.8,0,0,0,0,0,0,0
2017,6,3,23.3,28.7,21,0,0,74,0,10.5,15.6,29.4,0,0,0,0,0,0,0
2017,6,4,21.1,25.2,19,0,0,75,2.03,10.8,10.7,22.2,24.1,0,1,0,0,0,0
2017,6,5,19.7,23.7,17,0,0,75,8.89,11.4,17.8,35.2,0,0,1,0,0,0,0
2017,6,6,21.6,26.6,19,0,0,73,0,11.1,18.7,35.2,0,0,0,0,0,0,0
2017,6,7,19.7,21,19,0,0,76,0.25,10.1,11.1,18.3,0,0,1,0,0,0,0
2017,6,8,21.5,24.5,19,0,0,78,0,10.1,14.6,31.7,33.5,0,1,0,0,0,0
2017,6,9,21.6,25.2,19,0,0,79,0.25,10.3,7.8,16.5,33.5,0,1,0,0,0,0
2017,6,10,22.4,26.6,18,0,0,70,0,0,13.5,25.9,31.7,0,0,0,0,0,0
2017,6,11,23.7,28,19.9,0,0,62,0,0,13.5,22.2,40.7,0,0,0,0,0,0
2017,6,12,24.6,28.5,20.4,0,0,54,0,0,11.5,18.3,0,0,0,0,0,0,0
2017,6,13,25.4,29.5,21,0,0,57,0,0,12.2,22.2,0,0,0,0,0,0,0
2017,6,14,25.6,30.5,21.7,0,0,59,0,14,14.4,25.9,0,0,0,0,0,0,0
2017,6,15,25.9,30.6,22,0,0,57,0,14,11.3,18.3,0,0,0,0,0,0,0
2017,6,16,27.5,31.6,23.7,0,0,61,0,0,13.7,25.9,0,0,0,0,0,0,0
2017,6,17,26.2,29.2,24,0,0,72,0,13.4,11.5,16.5,0,0,0,0,0,0,0
2017,6,18,25.8,29.5,22,0,0,72,0,11.4,11.7,20.6,0,0,0,0,0,0,0
2017,6,19,25.3,28.5,22,0,0,78,0,10.6,10.6,18.3,0,0,0,0,0,0,0
2017,6,20,26.1,29.5,22,0,0,72,0,11.4,15.9,29.4,0,0,0,0,0,0,0
2017,6,21,26.1,29.7,23,0,0,68,0,11.9,19.8,35.2,0,0,0,0,0,0,0
2017,6,22,26.1,29.5,23,0,0,68,0,16.3,19.3,37,0,0,0,0,0,0,0
2017,6,23,25.9,29.7,23,0,0,74,0,10,21.9,33.5,0,0,0,0,0,0,0
2017,6,24,25.6,29.1,21.6,0,0,74,0,10.8,13.9,27.8,0,0,0,0,0,0,0
2017,6,25,24.9,28,23,0,0,80,0,10,11.3,20.6,0,0,1,0,0,0,0
2017,6,26,26.1,31.1,22,0,0,69,0,10.8,10,16.5,27.8,0,1,0,0,0,0
2017,6,27,25.7,28.5,24,0,0,78,0,10.3,11.7,18.3,0,0,0,0,0,0,0
2017,6,28,25.2,31.6,19,0,0,60,1.02,10.1,22.2,64.8,88.9,0,1,0,0,1,0
2017,6,29,22.8,28.2,18,0,0,50,0,11.6,18.5,40.7,0,0,0,0,0,0,0
2017,6,30,22.7,28,16.8,1013.2,1012.6,49,0,15,21.1,40.7,46.5,0,1,0,0,1,0
2017,7,1,21.1,25,18,0,0,51,0,10.8,12.8,25.9,40.7,0,0,0,0,0,0
2017,7,2,22.1,26.2,18,0,0,53,0,11.7,18,27.8,53.5,0,0,0,0,0,0
2017,7,3,22.8,27.2,18,0,0,66,0,13.4,17,29.4,0,0,0,0,0,0,0
2017,7,4,23.6,27,19.8,0,0,67,0,0,12.8,25.9,0,0,0,0,0,0,0
2017,7,5,23.6,27,19,0,0,69,0,11.1,12.6,22.2,0,0,0,0,0,0,0
2017,7,6,25.1,29,21,0,0,76,0,10.6,11.7,22.2,0,0,0,0,0,0,0
2017,7,7,25.6,28.7,22,0,0,72,0,10.8,17.4,27.8,0,0,0,0,0,0,0
2017,7,8,26.1,29,24,0,0,64,0,10.6,18,35.2,0,0,1,0,0,1,0
2017,7,9,25.3,29.1,22,0,0,73,0,10,12.2,24.1,0,0,0,0,0,0,0
2017,7,10,25.3,28.5,22,0,0,79,0,10,9.6,16.5,0,0,0,0,0,0,0
2017,7,11,25.8,28.2,24,0,0,78,0,10.1,13.9,22.2,0,0,0,0,0,0,0
2017,7,12,26.1,29.5,22,0,0,80,0,9.7,12.2,27.8,0,0,0,0,0,0,0
2017,7,13,26.4,29.2,23,0,0,79,0,10.3,16.1,33.5,0,0,0,0,0,0,0
2017,7,14,26.1,29.2,24,0,0,77,0,10.5,10.7,25.9,0,0,1,0,0,0,0
2017,7,15,26.4,29.7,24,0,0,75,0,10.5,14.1,24.1,0,0,0,0,0,0,0
2017,7,16,26.3,29.7,24,0,0,70,0,10.9,10.4,20.6,0,0,0,0,0,0,0
2017,7,17,26.3,29,23.7,0,0,67,0,10.9,9.6,18.3,0,0,0,0,0,0,0
2017,7,18,26.3,29.7,23,0,0,72,0,10.8,10.9,22.2,0,0,0,0,0,0,0
2017,7,19,26.3,29.5,23,0,0,74,0,10.5,13,24.1,0,0,0,0,0,0,0
2017,7,20,26.3,29,25,0,0,68,0,10.1,24.1,38.9,0,0,1,0,0,0,0
2017,7,21,25.5,29.7,23,0,0,70,0,10.9,10,20.6,37,0,0,0,0,0,0
2017,7,22,25.7,29.5,22,0,0,75,0,10.8,13.3,22.2,0,0,0,0,0,0,0
2017,7,23,25.1,28.2,20,0,0,75,2.03,10.3,10.4,40.7,63,0,1,0,0,1,0
2017,7,24,24.7,29.2,20,0,0,69,0.51,10.1,16.1,29.4,0,0,0,0,0,0,0
2017,7,25,24.6,27.7,22,0,0,64,0,10.5,19.3,27.8,48.2,0,1,0,0,0,0
2017,7,26,23.8,27.2,21,0,0,62,0,10.6,13,22.2,38.9,0,0,0,0,0,0
2017,7,27,25,29.5,20,0,0,76,0,10.8,15,27.8,31.7,0,0,0,0,0,0
2017,7,28,26.2,29.5,23.7,0,0,76,0,10.3,11.5,22.2,0,0,0,0,0,0,0
2017,7,29,25.8,29.5,22,0,0,80,0,10.6,10.4,16.5,0,0,0,0,0,0,0
2017,7,30,26.4,30.6,22.8,0,0,69,0,10.6,12,24.1,0,0,0,0,0,0,0
2017,7,31,26.6,29.2,25,0,0,78,0,10.5,22.4,33.5,0,0,0,0,0,0,0
2017,8,1,26.6,29.5,25,0,0,84,0,9.8,13.5,29.4,37,0,1,0,0,0,0
2017,8,2,27.9,32,24,0,0,70,0,10,11.5,25.9,0,0,0,0,0,0,0
2017,8,3,27.9,33,25.6,0,0,71,0,9.8,14.1,24.1,40.7,0,0,0,0,0,0
2017,8,4,28.4,32.7,24.9,0,0,68,0,0,10.9,22.2,35.2,0,0,0,0,0,0
2017,8,5,28.9,33,26,0,0,66,0,12.6,13.5,27.8,0,0,0,0,0,0,0
2017,8,6,27.2,30.5,25,0,0,72,0,11.1,11.3,20.6,0,0,0,0,0,0,0
2017,8,7,26.9,30.5,24,0,0,71,0,10.9,12.4,22.2,33.5,0,0,0,0,0,0
2017,8,8,26.4,29.7,22,0,0,70,1.02,10.6,15.7,42.4,0,0,1,0,0,0,0
2017,8,9,22.8,27,18,0,0,63,0,10.9,14.3,24.1,37,0,1,0,0,0,0
2017,8,10,21.8,26.5,17,0,0,60,2.79,10.9,18.1,35.2,38.9,0,1,0,0,0,0
2017,8,11,22.2,25.7,18,0,0,56,0,10.8,16.3,29.4,63,0,0,0,0,0,0
2017,8,12,23.7,27.1,20,0,0,62,0.51,10.9,12.8,22.2,0,0,1,0,0,0,0
2017,8,13,24.1,28.5,20,0,0,66,0,10.9,13.1,20.6,40.7,0,0,0,0,0,0
2017,8,14,24.7,28.6,20.8,0,0,70,0,10.9,12.6,25.9,0,0,0,0,0,0,0
2017,8,15,24.6,28.5,20.8,0,0,75,0,13.2,12.6,22.2,33.5,0,0,0,0,0,0
2017,8,16,25.6,28.5,24,0,0,73,0,10.8,13.9,22.2,0,0,0,0,0,0,0
2017,8,17,26.1,30.1,23,0,0,65,0,13.4,13,24.1,31.7,0,0,0,0,0,0
2017,8,18,26.2,30.2,23,0,0,73,0,12.2,16.7,29.4,0,0,0,0,0,0,0
2017,8,19,25.8,28.5,25,0,0,75,0,10.8,10.2,22.2,0,0,0,0,0,0,0
2017,8,20,25.2,27.7,24,0,0,72,0.51,11.6,11.1,18.3,0,0,1,0,0,0,0
2017,8,21,25.3,29.5,22,0,0,75,0,10.5,10.7,20.6,31.7,0,0,0,0,0,0
2017,8,22,25.4,29.1,22,0,0,75,0,10.6,17,31.3,0,0,0,0,0,0,0
2017,8,23,25.3,29.6,21.8,0,0,73,0,10.8,13.9,29.4,0,0,0,0,0,0,0
2017,8,24,26,30.1,22,0,0,74,0,10.5,11.9,27.8,0,0,0,0,0,0,0
2017,8,25,25.5,29.7,21,0,0,73,0,10.9,10.9,18.3,35.2,0,0,0,0,0,0
2017,8,26,26.2,29.2,23,0,0,76,0,10.3,10,18.3,0,0,0,0,0,0,0
2017,8,27,26.1,29.1,24,0,0,78,0,10.1,10.4,22.2,33.5,0,0,0,0,0,0
2017,8,28,26.4,30.7,23,0,0,77,0,10.3,9.6,18.3,29.4,0,1,0,0,0,0
2017,8,29,26.8,31,24,0,0,68,0,11.1,13.9,33.5,0,0,0,0,0,0,0
2017,8,30,24.8,27.2,23,0,0,65,0,10.6,16.7,37,61.1,0,1,0,0,0,0
2017,8,31,22.6,24.1,20.6,0,0,80,0.51,10.8,12.2,25.9,42.4,0,1,0,0,1,0
2017,9,1,22.4,26,20,0,0,70,11.68,10.8,13.7,22.2,37,0,1,0,0,0,0
2017,9,2,22.5,26.2,17,0,0,52,0.76,11.1,16.7,25.9,38.9,0,1,0,0,0,0
2017,9,3,22.5,26.5,18,0,0,68,0,10.8,12.4,20.6,42.4,0,0,0,0,0,0
2017,9,4,23.6,27.5,20.8,0,0,74,1.52,10.8,12.6,27.8,0,0,1,0,0,0,0
2017,9,5,24.2,28.5,20,0,0,73,0,11.1,18.5,31.3,0,0,0,0,0,0,0
2017,9,6,24.8,28.5,22,0,0,78,0,10.6,13.1,29.4,0,0,1,0,0,1,0
2017,9,7,22.4,25.7,19,0,0,70,13.72,9.8,15.6,27.8,48.2,0,1,0,0,0,0
2017,9,8,22.2,26.1,19,0,0,67,0,10.5,12.8,24.1,0,0,0,0,0,0,0
2017,9,9,20.9,26.6,17,0,0,75,3.05,10.1,11.5,40.7,0,0,1,0,0,0,0
2017,9,10,20.3,28.7,14,0,0,55,0,11.1,15.6,31.3,44.6,0,0,0,0,0,0
2017,9,11,22.6,26.5,17,0,0,59,0,11.1,14.1,29.4,0,0,0,0,0,0,0
2017,9,12,21.8,23.5,20,0,0,79,5.59,10.3,13.5,25.9,0,0,1,0,0,0,0
2017,9,13,22.7,27,18,0,0,73,7.87,10.1,21.7,38.9,42.4,0,0,0,0,0,0
2017,9,14,23.6,27.2,18,0,0,76,0,10.1,17.8,38.9,0,0,1,0,0,0,0
2017,9,15,15.4,18.1,13,0,0,87,4.32,9.3,12.8,24.1,44.6,0,1,0,0,0,0
2017,9,16,16.7,21.7,12,0,0,66,4.32,11.3,15.4,24.1,44.6,0,0,0,0,0,0
2017,9,17,18.2,23.1,12,0,0,62,0,11.4,19.3,37,42.4,0,0,0,0,0,0
2017,9,18,19.8,21.7,18,0,0,70,0.51,10.8,15.7,29.4,0,0,1,0,0,0,0
2017,9,19,19.7,23.2,16,0,0,65,4.83,10.9,11.9,22.2,42.4,0,1,0,0,0,0
2017,9,20,19.3,24.1,15,0,0,66,0,10.9,13.1,24.1,38.9,0,0,0,0,0,0
2017,9,21,20.7,26,16,0,0,70,0,10.6,15.9,27.8,42.4,0,0,0,0,0,0
2017,9,22,20.8,24.5,18,0,0,80,0,10.1,11.5,24.1,0,0,1,0,0,1,1
2017,9,23,20.8,25.2,17,0,0,76,0,10.5,13,20.6,0,0,1,0,0,1,0
2017,9,24,21.7,25.5,18,0,0,80,0,10.3,14.1,29.4,35.2,0,0,0,0,0,0
2017,9,25,21.5,25.5,18,0,0,75,0,9.7,15.9,33.5,38.9,0,1,0,0,1,0
2017,9,26,21.1,24.7,17.7,0,0,66,1.78,11.4,12,22.2,0,0,0,0,0,0,0
